MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross,Profit
avatar,avatar.html," 425,000,000"," 760,507,625"," 2,789,705,275"
star wars ep. vii: the force awakens,star-wars-ep.-vii:-the-force-awakens.html," 306,000,000"," 936,662,225"," 2,053,311,220"
the dark knight rises,the-dark-knight-rises.html," 275,000,000"," 448,139,099"," 1,084,439,099"
harry potter and the half-blood prince,harry-potter-and-the-half-blood-prince.html," 250,000,000"," 302,089,278"," 935,213,767"
the avengers,the-avengers.html," 225,000,000"," 623,279,547"," 1,517,935,897"
pirates of the caribbean: dead manâs chest,pirates-of-the-caribbean:-dead-manâs-chest.html," 225,000,000"," 423,315,812"," 1,066,215,812"
the amazing spider-man,the-amazing-spider-man.html," 220,000,000"," 262,030,663"," 757,890,267"
men in black 3,men-in-black-3.html," 215,000,000"," 179,020,854"," 654,213,485"
king kong,king-kong.html," 207,000,000"," 218,080,025"," 550,517,357"
black panther,black-panther.html," 200,000,000"," 700,059,566"," 1,348,258,224"
titanic,titanic.html," 200,000,000"," 659,363,944"," 2,208,208,395"
guardians of the galaxy vol 2,guardians-of-the-galaxy-vol-2.html," 200,000,000"," 389,813,101"," 862,316,233"
cars 2,cars-2.html," 200,000,000"," 191,450,875"," 560,155,383"
tron: legacy,tron:-legacy.html," 200,000,000"," 172,062,763"," 400,062,763"
2012,2012.html," 200,000,000"," 166,112,167"," 757,677,748"
terminator salvation,terminator-salvation.html," 200,000,000"," 125,322,469"," 365,491,792"
the mummy,the-mummy.html," 195,000,000"," 80,101,125"," 409,953,905"
star trek into darkness,star-trek-into-darkness.html," 190,000,000"," 228,778,661"," 467,381,584"
the great gatsby,the-great-gatsby.html," 190,000,000"," 144,840,419"," 351,040,419"
the dark knight,the-dark-knight.html," 185,000,000"," 533,720,947"," 1,001,996,207"
star trek beyond,star-trek-beyond.html," 185,000,000"," 158,848,340"," 335,802,233"
aladdin,aladdin.html," 182,000,000"," 355,557,222"," 1,038,057,222"
"the chronicles of narnia: the lion, the witch a…","the-chronicles-of-narnia:-the-lion,-the-witch-a….html"," 180,000,000"," 291,710,957"," 720,539,572"
wall-e,wall-e.html," 180,000,000"," 223,808,164"," 532,508,025"
the legend of tarzan,the-legend-of-tarzan.html," 180,000,000"," 126,643,061"," 348,902,025"
up,up.html," 175,000,000"," 293,004,164"," 731,463,377"
coco,coco.html," 175,000,000"," 209,726,015"," 798,001,982"
g.i. joe: the rise of cobra,g.i.-joe:-the-rise-of-cobra.html," 175,000,000"," 150,201,498"," 302,469,017"
wild wild west,wild-wild-west.html," 175,000,000"," 113,805,681"," 221,229,335"
47 ronin,47-ronin.html," 175,000,000"," 38,362,475"," 151,716,815"
dawn of the planet of the apes,dawn-of-the-planet-of-the-apes.html," 170,000,000"," 208,545,589"," 710,644,566"
snow white and the huntsman,snow-white-and-the-huntsman.html," 170,000,000"," 155,136,755"," 401,021,746"
shrek forever after,shrek-forever-after.html," 165,000,000"," 238,736,787"," 756,244,673"
how to train your dragon,how-to-train-your-dragon.html," 165,000,000"," 217,581,232"," 494,870,992"
interstellar,interstellar.html," 165,000,000"," 188,017,894"," 665,270,476"
cowboys and aliens,cowboys-and-aliens.html," 163,000,000"," 100,368,560"," 176,038,324"
beauty and the beast,beauty-and-the-beast.html," 160,000,000"," 504,014,165"," 1,259,199,706"
shrek the third,shrek-the-third.html," 160,000,000"," 322,719,944"," 807,330,936"
inception,inception.html," 160,000,000"," 292,576,195"," 835,524,642"
godzilla,godzilla.html," 160,000,000"," 200,676,069"," 529,076,069"
the curious case of benjamin button,the-curious-case-of-benjamin-button.html," 160,000,000"," 127,509,326"," 329,631,958"
war for the planet of the apes,war-for-the-planet-of-the-apes.html," 152,000,000"," 146,880,162"," 489,592,267"
pearl harbor,pearl-harbor.html," 151,500,000"," 198,539,855"," 449,239,855"
wonder woman,wonder-woman.html," 150,000,000"," 412,563,408"," 821,133,378"
frozen,frozen.html," 150,000,000"," 400,738,009"," 1,272,469,910"
zootopia,zootopia.html," 150,000,000"," 341,268,248"," 1,019,429,616"
harry potter and the goblet of fire,harry-potter-and-the-goblet-of-fire.html," 150,000,000"," 290,201,752"," 897,099,794"
the matrix reloaded,the-matrix-reloaded.html," 150,000,000"," 281,553,689"," 738,576,929"
i am legend,i-am-legend.html," 150,000,000"," 256,393,010"," 585,532,684"
hancock,hancock.html," 150,000,000"," 227,946,274"," 624,234,272"
batman begins,batman-begins.html," 150,000,000"," 205,343,774"," 359,142,722"
thor,thor.html," 150,000,000"," 181,030,624"," 449,326,618"
x-men origins: wolverine,x-men-origins:-wolverine.html," 150,000,000"," 179,883,157"," 374,825,760"
angels & demons,angels-&-demons.html," 150,000,000"," 133,375,846"," 490,875,846"
troy,troy.html," 150,000,000"," 133,298,577"," 484,161,265"
wrath of the titans,wrath-of-the-titans.html," 150,000,000"," 83,670,083"," 305,270,083"
how to train your dragon 2,how-to-train-your-dragon-2.html," 145,000,000"," 177,002,924"," 614,586,270"
rise of the guardians,rise-of-the-guardians.html," 145,000,000"," 103,412,758"," 306,900,902"
ghostbusters,ghostbusters.html," 144,000,000"," 128,350,574"," 229,008,658"
star trek,star-trek.html," 140,000,000"," 257,730,019"," 386,839,614"
armageddon,armageddon.html," 140,000,000"," 201,578,182"," 554,600,000"
lethal weapon 4,lethal-weapon-4.html," 140,000,000"," 130,444,603"," 285,400,000"
the last samurai,the-last-samurai.html," 140,000,000"," 111,110,575"," 456,810,575"
spider-man,spider-man.html," 139,000,000"," 403,706,375"," 821,706,375"
watchmen,watchmen.html," 138,000,000"," 107,509,799"," 186,976,250"
the croods,the-croods.html," 135,000,000"," 187,168,425"," 573,068,425"
the revenant,the-revenant.html," 135,000,000"," 183,637,894"," 532,938,302"
the world is not enough,the-world-is-not-enough.html," 135,000,000"," 126,930,660"," 361,730,660"
happy feet two,happy-feet-two.html," 135,000,000"," 64,006,466"," 157,956,466"
