,MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross,Profit,IsProfitable
0,avatar,avatar.html,425000000.0,760507625.0,2789705275.0,2364705275.0,True
1,star wars ep. vii: the force awakens,star-wars:-the-force-awakens.html,306000000.0,936662225.0,2053311220.0,1747311220.0,True
2,the dark knight rises,"dark-knight-rises,-the.html",275000000.0,448139099.0,1084439099.0,809439099.0,True
3,harry potter and the half-blood prince,harry-potter-and-the-half-blood-prince.html,250000000.0,302089278.0,935213767.0,685213767.0,True
4,the avengers,"avengers,-the.html",225000000.0,623279547.0,1517935897.0,1292935897.0,True
5,pirates of the caribbean: dead manâs chest,pirates-of-the-caribbean:-dead-man's-chest.html,225000000.0,423315812.0,1066215812.0,841215812.0,True
6,the amazing spider-man,spider-man.html,220000000.0,262030663.0,757890267.0,537890267.0,True
7,men in black 3,men-in-black-3.html,215000000.0,179020854.0,654213485.0,439213485.0,True
8,king kong,king-kong.html,207000000.0,218080025.0,550517357.0,343517357.0,True
9,black panther,black-panther.html,200000000.0,700059566.0,1348258224.0,1148258224.0,True
10,titanic,titanic.html,200000000.0,659363944.0,2208208395.0,2008208395.0,True
11,guardians of the galaxy vol 2,guardians-of-the-galaxy-vol-2.html,200000000.0,389813101.0,862316233.0,662316233.0,True
12,cars 2,cars-2.html,200000000.0,191450875.0,560155383.0,360155383.0,True
13,tron: legacy,tron:-legacy.html,200000000.0,172062763.0,400062763.0,200062763.0,True
14,2012,2012.html,200000000.0,166112167.0,757677748.0,557677748.0,True
15,terminator salvation,terminator-salvation.html,200000000.0,125322469.0,365491792.0,165491792.0,True
16,the mummy,they.html,195000000.0,80101125.0,409953905.0,214953905.0,True
17,star trek into darkness,star-trek:-nemesis.html,190000000.0,228778661.0,467381584.0,277381584.0,True
18,the great gatsby,"great-gatsby,-the.html",190000000.0,144840419.0,351040419.0,161040419.0,True
19,the dark knight,"dark-knight,-the.html",185000000.0,533720947.0,1001996207.0,816996207.0,True
20,star trek beyond,star-trek.html,185000000.0,158848340.0,335802233.0,150802233.0,True
21,aladdin,aladdin.html,182000000.0,355557222.0,1038057222.0,856057222.0,True
22,"the chronicles of narnia: the lion, the witch a…","chronicles-of-narnia:-the-lion,-the-witch-and-the-wardrobe.html",180000000.0,291710957.0,720539572.0,540539572.0,True
23,wall-e,wall-e.html,180000000.0,223808164.0,532508025.0,352508025.0,True
24,the legend of tarzan,legend.html,180000000.0,126643061.0,348902025.0,168902025.0,True
