movie_info,tomatometer_status
"You've got followers... Cyberbullying goes offline during one deadly night. Inspired by a shocking true story, this film follows a group of preteen girls living in a suburban world of money and privilege. But when their obsession with a disturbing online game goes too far, virtual terror becomes all too real.",Rotten
"Joseph Gordon-Levitt and Zooey Deschanel star in director Marc Webb's wry, nonlinear romantic comedy about a man who falls head over heels for a woman who doesn't believe in love. Tom (Gordon-Levitt) is an aspiring architect who currently earns his living as a greeting card writer. Upon encountering his boss' beautiful new secretary, Summer (Deschanel), Tom discovers that the pair have plenty in common despite the fact that she's seemingly out of his league; for starters, they both love the Smiths, and they're both fans of surrealist artist Magritte. Before long Tom is smitten. All he can think about is Summer. Tom believes deeply in the concept of soul mates, and he's finally found his. Unfortunately for Tom, Summer sees true love as the stuff of fairy tales, and isn't looking for romance. Undaunted and undeterred by his breezy lover's casual stance on relationships, Tom summons all of his might and courage to pursue Summer and convince her that their love is real. ~ Jason Buchanan, Rovi",Fresh
"A young woman wakes up after a terrible accident to find that she's locked in a cellar with a doomsday prepper, who insists that he saved her life and that the world outside is uninhabitable following an apocalyptic catastrophe. Uncertain what to believe, the woman soon determines that she must escape at any cost.",Fresh
"Popular, pretty Bianca Stratford (Larisa Oleynik) is in dilemma. A family rule forbids her from dating until her unpopular, rebellious, boy-hating older sister Kat (Julia Stiles) gets a suitor of her own. In an attempt to win Bianca, a potential boyfriend (Andrew Keegan) desperately attempts to set Kat up with Patrick Verona (Heath Ledger), another rebel whom may just be able to win Kat's heart.",Fresh
"A young outcast from a primitive tribe is forced to defend his people from a brutal onslaught in Independence Day director Roland Emmerich's fast-paced period adventure. Despite the fact that he is low man on the totem pole in his tribe of fearless hunters, a brave young boy (Steven Strait) longs to win the heart of a beautiful princess (Camilla Belle) who is well above his station in life. When an overwhelming horde of powerful invaders forces the hunters into slavery and abducts the princess, the once-aimless boy suddenly finds his destiny taking an unexpected turn. Now, if he has any hope of saving his tribe from certain extinction, this young boy will have to fight for the future to his dying breath. ~ Jason Buchanan, Rovi",Rotten
"In this all new tale, Cruella De Vil is released from prison on good behavior swearing that she will have nothing to do with fur ever again in her life. She, however, cannot keep this promise and soon is plotting another ""furocious"" scheme to get her ultimate Dalmatian coat.",Rotten
"A man is forced to go against his family and his principles in the name of serving his country in this drama inspired by actual events. Tommy Santoro (James Marsden) was just a boy when his father was murdered, and young Tommy quickly discovered his dad was a high-ranking member of the Philadelphia Mafia. Tommy grew up determined to stay on the right side of the law, but his brother Vincent (Brad Renfro) and cousin Joey (Giovanni Ribisi) had other ideas and ended up joining ""the family business."" Tommy enlisted in the Army and served in Operation Desert Storm, but when he impulsively stole a jeep, he was arrested by the military police. However, Tommy finds he's not questioned by MP's, but by Horvath (Brian Dennehy), an FBI agent who knows all about his past and family history. Horvath has learned that Sicilian mobsters have been taking over the Philly rackets, and persuades Tommy to join up with Vincent and Joey in order to infiltrate the Mafia and serve as an informant to the FBI. Tommy grudgingly agrees, but he's uneasy about betraying his family and following the path that killed his father -- especially when he discovers his actions have put Vincent and Joey in grave danger. Also starring Dennis Hopper, Piper Perabo, and Lesley Ann Warren, 10th & Wolf was the directorial debut for Bobby Moresco, who won an Academy Award for his screenplay for Crash.",Rotten
Greg Marcks' 11:14 intertwines five different storylines that all lead up to a series of events that happen one evening at 11:14. The audience is made privy to connections between the characters that they themselves are unaware of. The audience will see how various lies and deceptions lead to murder.,Fresh
"A jury argues a case in a stuffy room on a hot summer's day. Eleven say ""guilty!"" But one holdout (Jack Lemmon) is convinced of the defendant's innocence and stubbornly argues ""reasonable doubt."" This tense courtroom drama is a remake of Sidney Lumet's 1957 favorite and was produced for the Showtime cable network.",Fresh
"When New Orleans Police Detective Danny Fisher stops a brilliant thief from getting away with a multi-million-dollar heist, the thief's girlfriend is accidentally killed. After escaping from prison, the criminal mastermind enacts his revenge, taunting Danny with a series of near-impossible puzzles and tasks--12 rounds--that Danny must somehow complete to save the life of his own fiancee. Ranging from tests of intelligence to Sisyphean tasks of endurance, Miles keeps Danny guessing at every treacherous turn. Each new round sends Danny hurtling through the city at a breakneck pace. As Miles toys with Danny, innocent citizens are threatened. Automobiles, streetcars and ferryboats are transformed into potential weapons of mass destruction. With the violent rounds mounting, one wrong move may take the match closer to a deadly conclusion.",Rotten
"Chris Hemsworth (""Thor,"" ""The Avengers"" films) and Oscar nominee Michael Shannon (""Revolutionary Road,"" ""Nocturnal Animals"") star in ""12 Strong,"" a powerful new war drama from Alcon Entertainment, Black Label Media and Jerry Bruckheimer Films. Based on the book best-selling book Horse Soldiers, it is story of heroism based on true events that unfolded a world away in the aftermath of 9/11.",Rotten
"Chiwetel Ejiofor stars as Solomon Northup, the New York State citizen who was kidnapped and made to work on a plantation in New Orleans in the 1800s. Steve McQueen (Hunger) directs from a script he co-wrote with John Ridley, based in part by Northup's memoir. Michael Fassbender, Brad Pitt, Benedict Cumberbatch, Sarah Paulson, and Paul Giamatti co-star. ~ Jeremy Wheeler, Rovi",Fresh
"""127 Hours"" is the true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolate canyon in Utah. Over the next five days, Ralston examines his life and survives the elements to finally discover he has the courage and the wherewithal to extricate himself by any means necessary, scale a 65 foot wall and hike over eight miles before he is finally rescued. Throughout his journey, Ralston recalls friends, lovers, family, and the last two people he ever had the chance to meet? A visceral thrilling story that will take an audience on a never before experienced journey and prove what we can do when we choose life.",Fresh
"Thirteen-year-old Jenna (Shana Dowdeswell) has had enough with the trials of adolescence. In addition to being saddled with a devoted-but-nerdy best friend, Matt (Sean Marquette), she falls victim to one of the dangers of playing Seven Minutes in Heaven with the coolest kids in school: being stranded without a willing make-out partner. Humiliated, Jenna buries herself in the aforementioned make-out closet, wishing she could skip the whole adolescence bit and move straight into adulthood, and miraculously wakes up just weeks away from her 30th birthday. Of course, a lot has changed since going to bed the night before, not the least of which being an impressive set of womanly curves. The new, older Jenna (Jennifer Garner) is a successful magazine editor with friends in high places and a lion's share of potential suitors -- including a hockey-playing boyfriend and a swarthy married man. The problem is that her mind hasn't matured with her body; Jenna not only finds living on her own more terrifying than cool, but is quick to dismiss any male over the age of 14 as ""gross."" Half excited, half mortified, Jenna seeks out Matt (Mark Ruffalo), whom she learns she had spurned as a teenager in an effort to join the popular crowd. Gary Winick directed the film, from a script by Josh Goldsmith and Cathy Yuspa; Gina Matthews produced. Choreographer Michael Peters -- who died in 1994 -- received posthumous credit, as his choreography from the Michael Jackson Thriller video is used in one scene. ~ Tracie Cooper, Rovi",Fresh
Based on the book 13 Hours: The Inside Account of What Really Happened in Benghazi.,Rotten
"A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last. (c) Radius-TWC",Fresh
"Renowned horror novelist Mike Enslin believes only in what he can see with his own two eyes. But after a string of bestsellers discrediting paranormal events in the most infamous haunted houses and graveyards around the world, he has no real proof of life...afterlife. But Enslin's phantom-free run of long and lonely nights is about to change forever when he checks into suite 1408 of the notorious Dolphin Hotel for his latest project, ""Ten Nights in Haunted Hotel Rooms."" Defying the warnings of the hotel manager, the author is the first person in years to stay in the reputedly haunted room. Another bestseller may be imminent, but first he must go from skeptic to true believer--and ultimately survive the night.",Fresh
"An action drama centering on the media circus, 15 Minutes focuses on a New York homicide detective named Eddie Flemming (Robert De Niro), a famous figure known for his heroic on-the-job manner. A tabloid news anchor (Kelsey Grammer) attempts to get the scoop on Flemming's latest beat when a pair of Eastern European criminals (Karel Roden and Oleg Taktarov) find a way to manipulate the media by filming their exploits, which they believe they can sell to bloodthirsty journalists and make themselves rich. In the wake of a double murder, Flemming teams up with Jordy Warsaw (Edward Burns), an arson investigator assigned to help locate the murderous pair. Meanwhile, Flemming must contend with his news reporter girlfriend Nicolette (Melina Kanakaredes) as he and Jordy find themselves enveloped in a lurid series of events that threatens to jeopardize their safety. Kim Cattrall, Avery Brooks, and Vera Farmiga are also featured in the cast.",Rotten
"A hard-drinking, hard-living cop assigned the task of transporting a small-time criminal to the nearby courthouse finds that a simple, 16-block drive can be the longest ride of his life in director Richard Donner's urban action thriller. Hung-over, has-been cop Jack Mosley (Bruce Willis) has seen better days, and all that the force expects out of him these days is to stay out of trouble while he's on the clock. Eddie Bunker (Mos Def) is set to testify before a grand jury at 10:00 a.m., and it's up to Mosely to make sure that Bunker makes it to the courthouse in one piece -- a job that Mosely estimates will take a maximum of 15 minutes. A black van has been trailing the pair unnoticed, though, and after stopping off at a nearby liquor store to pick up some breakfast, Mosely emerges from the store just in time to save Eddie from the lethal bullet of a determined assassin. When backup arrives in the form of Detective Frank Nugent (David Morse), Mosely quickly realizes that the detective on Nugent's team is the same cop that Bunker is set to testify against. Now faced with the tough task of dodging bullets and eluding a massive onslaught of corrupt cops, Mosely must keep Bunker alive long enough to get him before the judge and ensure that justice is served. ~ Jason Buchanan, Rovi",Rotten
